Label,Area,Mean,Perim,Circ,AR,Round,Solidity,type
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",4081,166.06567,288.69437,0.61532,1.10602,0.90414,0.8227,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3313,168.16511,278.47583,0.53685,2.29583,0.43557,0.85189,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3666,168.53191,239.65334,0.80211,1.15833,0.86331,0.93401,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3361,169.12913,233.13292,0.77709,1.36511,0.73254,0.90459,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3489,170.06506,245.7556,0.72595,1.60404,0.62342,0.89749,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1161,168.26098,200.63809,0.36242,3.60457,0.27743,0.68496,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1303,161.82886,158.41959,0.65243,1.47379,0.67852,0.82338,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",4320,169.7206,249.38612,0.87287,1.19824,0.83456,0.95449,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2626,167.10853,205.27372,0.78314,1.47081,0.6799,0.91482,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",4463,169.43379,263.9698,0.80487,1.53472,0.65158,0.94635,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2849,167.12039,246.36658,0.58985,2.17832,0.45907,0.82989,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2089,164.24988,235.25595,0.47432,3.06737,0.32601,0.81954,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3361,170.51473,231.59048,0.78748,1.70806,0.58546,0.93608,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3218,169.19267,228.70832,0.77309,1.73607,0.57601,0.91472,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3424,170.78446,286.92569,0.52264,1.41187,0.70828,0.7914,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1361,163.97428,156.11016,0.70179,1.27773,0.78264,0.88205,LN229
